μ_R2,σ_R2,μ_coef,σ_coef
0.338949653474763,0.016635493637373044,-0.15141722583992553,-38.1976502910703
0.25318303987248225,0.04734064447183728,0.4719074239313429,15.415409038915271
0.47550185191032557,0.2630163706605261,-0.6871725690538943,55.24662359827599
0.840230214302216,0.006086677277790553,0.516249142744411,-3.9749636048546617
0.7858900062750971,0.880633848051895,-4.215970907030322,-85.58612803637827
0.3643012664392048,0.33685503757538826,-0.2910071480793268,-7.5214895221166795
0.06763882308691005,0.04152186428675941,-0.6994955468584172,1.173336129768395
0.5648055196827217,0.6251805489345085,-1.2823024344455465,-20.43746465161698
0.10555881975697412,0.04032665580046846,-0.2716199833293952,3.7321125134509057
0.1267030879139558,0.23716061631118301,-0.050819974257081756,4.924516598546753
0.8387277498944924,0.3393811808445818,0.2012015858726862,-14.526852650903994
0.8680799209966261,0.49381390327648134,-0.8737604874566394,-62.342869210323585
0.8551434697071258,0.4699322029953257,-0.26506710808793255,-47.17562497169564
0.6212796743465342,0.6029057323363933,-0.4739256323931373,-39.57072731559458
0.8650428234172902,0.8719396948277522,-1.5465581326420845,-51.29761386537659
0.31665651259939764,0.1804860206284653,0.179949997907113,33.37713387741148
0.6535084247873291,0.3140815716463877,0.3203365727593476,-11.679434852134671
0.39554910204121085,0.19140601344850394,0.19669001515773235,-2.775929970507258
0.34321131668662763,0.06138957676919021,0.4635280028658007,-21.13198422561684
0.6460947185152625,0.14671117304003733,-0.07316754680727539,114.03493805565549
0.35917627652604767,0.14536423371722873,0.29891092081736936,-20.811030833107996
0.7604267417460272,0.6567493413277048,0.0006867283228361897,-0.14017035383562126
0.7755740774480699,0.6645677781092535,-0.7221930419655701,-120.30141890937303
0.8220166026570818,0.5896677970389753,-0.09463859240943254,13.143877101042817
0.7688354118977305,0.5436594923599323,0.3688531503577469,-17.87958762035653
0.6196380971794588,0.00723010921144529,0.36868984084705,-387.7856605026321
0.5424459433866493,0.04892926683720744,1.037655407555249,0.7287069600595931
0.5837745342143021,0.02103980318026788,-0.5007830577815381,15.176077107595209
0.8685107980181295,0.3712209346610317,0.07182441628889895,-0.6492816498532104
0.8816223360166906,0.12754878478511644,0.21607484205466965,6.462676643036308
0.14381508836849421,0.16376372338116174,-0.6607213019566865,-73.40963287906818
0.548204399353853,0.5392021053115721,-3.0123325145210162,-151.29923568431315
0.17741337967163562,0.23144929983349738,0.03888502575219662,-16.956472767176585
0.5735515482969388,0.5105579765671888,0.357302834837747,-4.637002716200352
0.9090674538503283,0.8325775935897861,-1.1762061309390999,-115.58015332176677
0.8091319386820863,0.09786382516796888,0.0688954802312913,-5.151748498412892
0.14554262483752178,0.09023356339930444,-0.5474220762821432,10.891676048296512
0.3642958269206571,0.7327476055023687,-0.02121890975336884,-7.85371419317804
0.6926650258150601,0.2768031565107457,0.05003793482217768,-7.163430962375597
0.3424965316257964,0.2724973096318638,0.820728828973091,-108.7810329114779
0.7198423082259378,0.6735793358223321,-0.018213472724035392,-14.397808497447725
0.11601811485282376,0.0024476441063092658,-0.11330169452462623,-168.56066526136715
0.7345948280136692,0.5914854618697738,0.019860607131482983,24.291876057342552
0.8106647540803115,0.013462342111177028,-0.9410836885788069,-55.868787394894746
0.8663928073107875,0.8279403474932013,-0.48358543767528545,-26.73562300899031
0.1048580585682205,0.03324144276309282,-0.8882772153682712,-19.72800802508581
0.8430109738973758,0.8210219471802644,-4.3038874873195745,-118.08663935667093
0.29486574223829887,0.0072335152128594205,0.2699635212419865,153.90412875723825
0.864505048187658,0.41274719716104236,0.27524105669719023,10.150310036157109
0.09518265341819787,0.29890491251768625,-0.21614838205840362,-26.82365616263765
0.8862029000555296,0.760377765677003,-0.6465428716496353,-102.822733558543
0.7632251334323176,0.06326929921817448,-0.04966229161894454,-3.9091784687158717
0.7522255868886798,0.0629966052986547,0.2843707372752807,-62.73474715594291
0.10530053431165276,0.03630721538414439,0.20450912873691707,-33.009766265527
0.3377092018350324,0.12729914179488422,0.07968219315569224,-0.9840808201712768
0.618896346710208,0.37212652443342287,0.19327472300562124,34.34123990833202
0.6776071123987999,0.6440113101565507,-0.7192550117288206,-11.711070290532
0.04500738138972549,0.025871155214527763,-0.35738037590697835,7.243109408920364
0.9517356222258061,0.9107293645109474,-0.8816226357868927,-75.56820379557021
0.6397899711805838,0.001384460592342096,-0.013095184113287212,-41.70163444090188
0.6526873663596517,0.8105401390321568,-0.13507504703968498,-11.282383366150917
0.30554223589393725,0.1426469814212561,0.8534705728008823,18.87231966587441
0.6443980544512489,0.6695616527805985,0.26370112782535654,-66.58294117459467
0.6007538839167603,0.1035343237181906,0.2885527399514432,4.436108259057264
0.1344578019009065,0.0680281516385195,-0.7509865074845216,96.73573823322764
0.8238093613393497,0.12510724271301255,-0.02367739249891484,-1.9833573352543654
0.890269836362108,0.10852858127046383,0.18901093270981867,-15.813149857188687
0.8826485178961583,0.20194470613476467,0.2722869224549601,9.752428658215283
0.7294841597206587,0.7120887354937355,-0.3756674299787098,-93.4721044831649
0.14467664052043006,0.30202926741312963,-0.406398816250036,-0.06589281968075412
0.5842949222425892,0.05874425702030117,-0.2828404742700972,-17.390887311826628
0.794808459644388,0.5992595498875081,-0.04419224956634676,-10.759270967452043
0.5818442579432084,0.08374402385091151,0.34592902321776625,-7.21755560486853
0.6232542659763247,0.21710703292418043,0.22659424272676904,-50.33568187398809
0.37580246346580093,0.13484043025779524,0.1025277426789653,567.171198257233
0.5850420514501339,0.5175120509335769,0.05860169791286674,-70.01239190129631
0.4926865139910146,0.015323969693689654,0.6035250785659172,-4.409182507886021
0.46312695714273666,0.3936307307215654,0.248785867851877,-50.50687607018146
0.027376805721472053,0.15204506886088176,-1.674828464216201,97.91624999047218
0.15258814561379808,0.16558736946375674,-0.5642335384918119,-44.041255280486105
0.8059413921589155,0.6285626096726855,-0.9023545288038818,15.302760328481988
0.8144017019703064,0.4756643773456878,-0.8696488582041597,-174.4436896718826
0.5787125678893157,0.2901910496654889,0.5426042750002203,-51.465406375354455
0.8411127385291903,0.4091050137371127,-1.0278440021490336,-180.77355886659763
0.7572397901345935,0.9096628998231695,-2.324920109796978,-51.46941014541093
0.8662416435132043,0.8801732764409665,-7.609051988710823,-229.22361565815598
0.862327909794387,0.12344343428424376,0.06848979666776654,-0.2007279997190229
0.795619080746758,0.06844210083419489,0.3729477446202606,-10.43325986799579
0.42599257320626016,0.06031771062604352,-0.345811837390055,11.314157390930603
0.8288155806044116,0.18124535646853235,-0.23669266067694705,-61.54107816214236
0.29567345361008157,0.0969441574247083,0.39104419210401126,-0.7266770804328393
0.9304959014883492,0.8708080541513014,-1.431844323425391,-154.16517664852188
0.3358394291861977,0.24689828953981152,-0.47113923801988405,-434.3317835605106
0.39124813515732404,0.10054367579583212,-0.014451996270837411,-1.9127460484531789
0.5904768649736903,0.5602352403523847,-0.19163383032418668,-4.800814838551132
0.7647631682299315,0.5597633420071131,0.46166444288916714,-79.87660910355875
0.5612481100444402,0.461710597203254,0.5439616447897344,-13.275449203132112
0.8588314456101134,0.6939535810341264,-0.4362268900449906,-50.69533125343304
0.7886156379373334,0.09215148195170597,0.12479498679852874,-7.243887947832426
0.11566809993399085,0.19008757159886092,-0.9876330507629318,54.77268801422636
0.6684799245618636,0.814167796924053,-3.834396201255314,-95.17193699664529
0.37979433606520896,0.4877935487833883,-1.4954549818898493,79.49553348212298
0.49009103354094363,0.2717472105882055,0.6445816290361183,12.972337170558182
0.7261337780759292,0.09900715249493675,0.22319753818848434,11.309147613295648
0.7883054485574589,0.8421503340379186,-3.3672251529571446,-57.05947064291381
0.37224507076889846,0.36940921978421803,-0.8368312865691903,-252.8798543675152
0.2980850406482376,0.14972525551207239,0.38191152454906324,2.267903316974301
0.5022757633744739,0.4888322624110396,0.04311675501392808,-4.689795863004438
0.5153407461504895,0.38397570857508556,1.905947797076529,-106.94747209975644
0.5244621972813897,0.27564671774642613,0.8146595697503777,21.418678946294037
0.02756302304978664,0.028602825928356945,-0.4913109433234864,-20.574106600100187
0.4329855462385884,0.006019286456887651,0.42292529683350255,-37.45453510133191
0.7381182339652297,0.38208335118367087,0.470241004834957,-29.060791253243178
0.24809964076422153,0.06048680096951431,-0.8925207649879168,44.958848101149314
0.4340421770406315,0.2473166037251362,0.1839378656638252,-38.08896905842459
0.8783566331278109,0.759862612601661,-0.8861330375038395,-156.69919198146388
0.7568990588222546,0.7082936032916396,0.009657548821599672,4.1702634568566435
0.3068433781494817,0.023235419365509324,2.480125156408142,25.093994567747725
0.8180875549804273,0.7791685792179608,-2.071365910973312,-93.27549520561543
0.26543770277141787,0.0019392962516515677,-1.316075200241883,37.64266721435184
0.4229426818640767,0.4526690729768522,0.624000104672003,-105.9654877879919
0.8273949997881724,0.5392619631029835,-0.3149875703278099,-4.52697519887316
0.419229514302203,0.4838120764630498,-2.84661343485053,-14.275818168907314
0.4458265101988055,0.35787719262961926,1.5453837771232886,50.34098300971989
0.7827833518538918,0.528305245045609,-0.05743088695348076,-4.767326403712189
0.7089302371128032,0.5869924057289565,-0.8536431496020817,-123.68031956764496
0.8506670270711258,0.05174364620988148,0.21663300252537857,6.273967171444088
0.7970181449661052,0.18237810774693453,0.5161936030377515,-10.142750123602294
0.9544166813233225,0.9510195211881913,-2.3594460320109407,-57.74256136163911
0.7091022407656604,0.4454776537414805,-0.24209834835792174,1.1764162216368113
0.6239681546199438,0.5259708375978895,0.09407266357634544,-30.801544564005933
0.6031209549387676,0.19144421560326907,0.5120134960303897,5.683632712981118
0.6875095003121658,0.5403861211590419,1.1997481196014943,-16.607543371424477
0.6918091678134175,0.6696866795613035,-0.4467719394491341,-8.658613954729914
0.06608700679317991,0.0008701876646192153,-0.08694169986683566,-42.1599150184215
0.9568520152358392,0.9250750883380824,-0.7638665199268311,-63.599706268845495
0.7500317831256363,0.020857648539868157,0.1679485712394088,1.768823809444224
0.7971101216915701,0.7840137558985221,-0.3420414580476015,-79.02606238400762
0.7842334451550734,0.7427786233693815,-0.19209187552037332,-22.115543405626358
0.7298981941551581,0.06502415873600498,0.5659260302264445,-30.461717714924465
0.6127066465408231,0.041411625158027876,0.2963731992871682,7.684194632113483
0.9142973304985662,0.8616505056864688,-1.5139660335882856,-122.86716327680281
0.8635794381676635,0.12554488244318485,0.13013710094422923,-3.833400244193884
0.6290176957806384,0.8193443291109163,-7.988489415820992,-221.37103984548963
0.5104814949613747,0.0023084227827220305,-0.1929357759709287,-2.4600792483806067
0.3041595265062733,0.18750919791863707,0.8416101343080501,18.104032930343102
0.5250512179595456,0.36220178165969485,0.09135914349873048,64.1581766307743
0.07027570138763894,0.2671795082980447,-0.37708586092539226,0.4953209812674697
0.7929449388599331,0.36030760247316596,-0.10274405672773508,-8.02304337493584
0.7922095530948221,0.000954803934477888,-0.07183737317921998,-5.829889532305147
0.20951538031781314,0.0893250156748705,-0.38102892087180484,-22.654535301950375
0.09937638273715599,0.1523594512870552,-0.8313614587810274,79.57629287310509
0.6265332148627778,0.040566710766172354,-0.16890147026838154,-2.145313340154864
0.8236920123865686,0.44709772404739745,-0.03887158989574486,-6.422558681319995
0.16092363081711036,0.2087569129079071,72.96555884242515,1910.440212285535
0.9159780343824323,0.6055617150213042,0.01925271404429417,-11.2816185575447
0.7713107321235143,0.03476385466360632,0.5266690308241725,13.148914803275702
0.8203976799269852,0.5619379062637391,-0.4464718225253659,-78.09530742723572
0.034038856351701674,0.3611857056390041,-0.9266128695157144,-55.28057812511515
0.8777697616166596,0.43700617555290566,0.2889320037445842,-1.8317281245884174
0.07407425032368897,0.019632776268257768,-1.3521039518576594,-19.112558705214592
0.9518634529132312,0.938857462225532,-1.2116565213857349,-18.95082392619742
0.8431007648589913,0.6037187517082516,-0.7902632141998311,-106.04250473753623
0.6639289376805767,0.025483473248564037,0.2123162602165166,-1.8417439773683872
0.13734548984929562,0.11405956097480963,0.23632076144606975,-7.463509314154594
0.6386461692152308,0.006839280031528561,0.22449430659469036,-4.64203959619032
0.31793112769882814,0.12560753809793057,-0.23885987391238037,48.47223478101878
0.3960790234573106,0.0550181749241333,0.12446474308915441,-12.687923855507282
0.2217471304083376,0.3190563392775464,-0.4260940227012302,-39.68510461415605
0.2820954739240893,0.08774341802576535,1.064082686038647,16.703964484206143
