μ,σ
0.5793808682398436,0.09285578859490141
0.48942076549386604,0.09276521224432817
0.6791550906014584,0.5109823888201998
0.8968744015230464,-0.06116697801713494
0.733281238893932,0.8204032866541838
0.569967638045732,0.575637450479745
-0.07478165089704776,-0.20151899958842007
0.6326453095216018,0.7281644500261508
0.28604070277843846,-0.1997974188580102
0.3076159785529769,0.4142127982092258
0.9066944655250542,0.3469132775378903
0.9248536356023263,0.6975821662013569
0.9139172880423857,0.27362731392240863
0.7744359520274008,0.7700575522848147
0.8688155564027032,0.8812407098403104
0.5620542716251007,-0.4169655658569613
0.7924215494876373,-0.5311794362690514
0.620454953658784,-0.43624155222606953
0.5527045760943863,-0.2065299699022591
0.8036252651553734,0.29381647268451205
0.5953707534662263,-0.3706384022919081
0.8720203671937322,0.8103451750006935
0.8662672812317946,0.7967857855628959
0.906226558349475,0.7669368048507081
0.87235860938681,-0.7302701572642237
0.778916210957591,-0.049035564386281004
0.699215417230446,0.22115877731533382
0.7180005304979155,0.14212170182390024
0.9290700771194328,-0.6087985666051903
0.9302460804123335,-0.2576782593210616
0.3729474371417899,-0.3981470206588001
0.6970625349584033,0.6860838959577183
0.42073118832887185,-0.43014272971255546
0.7487625907971546,-0.714467938115185
0.9405906198601605,0.8920790500275287
0.8974799973402846,0.023613849822803804
-0.23032753860270005,0.15138521264871552
0.6002908781262757,0.8311493978763168
0.8315293364276936,-0.5005104571866084
0.5775390218644133,-0.3412869965030719
0.8483768176975233,-0.8150904921533436
0.3184272036180481,-0.005433452600482227
0.8570320136641376,-0.7633236192132791
0.8303116321588051,0.100319733448743
0.9168622443407716,0.8991571824447545
0.2692893157520494,-0.04490763074372832
0.8164233493472653,0.8209870483311309
0.5285686680760968,0.06664773218191421
0.9136517538149205,0.5756035570632636
0.2879934132745671,0.5070954840807345
0.921719409727027,0.57470027289436
0.8713271199804042,-0.20745215227553745
0.8642261838957507,-0.04692261267624583
0.2832800321741356,0.07655529869165605
-0.447102769810516,0.33683899809290774
0.7834867100748225,0.5990465212464996
0.7140925915444449,0.7712020266811979
0.15012105886282512,0.15951299635581778
0.9627133987125157,0.9171825167181848
0.7998012229140506,0.031325244315831814
0.7718964891939343,0.8929167148266668
0.4876791494780808,0.28987161397122313
0.8003297922643421,-0.8083195667613544
0.7595398989208295,0.30899943578754957
0.287598552055732,0.00471716563414158
0.9072863067304454,-0.34549403494613773
0.939964489035862,0.07939457791895883
0.9311287234468593,0.38686936859996546
0.8485194061679243,0.8212104744154727
-0.2844479342170581,0.5495715184541526
0.7439918734574575,-0.006324456168922578
0.8911617133551998,-0.7533945203753092
0.7546938958801122,-0.2795188263443834
0.7733284519450977,-0.0699022290378653
-0.5935906763780276,-0.155685510330976
0.7646025354866187,-0.6869896652358116
0.6668932917787924,0.07288062821041146
0.6656356806575712,-0.609200786339902
-0.03449593930301788,0.3356104978937149
0.3837079481821794,-0.40515584257100057
0.878605948408325,0.7918915528035145
0.8849148136534519,0.3504627567503029
0.7248936297690911,-0.3311532591995643
0.8983620898663905,0.35031461748309195
0.8335266817204477,0.935194477270184
0.8843417227791925,0.8958818018329382
0.9187435442722386,-0.35132005124935245
0.8779863501047486,0.2093364425202665
0.637940442285482,-0.234657878354892
0.9082316330617576,0.3266344965910995
0.5162753195600365,-0.31096151232307606
0.9446704309278493,0.8922066785985373
0.5717746707751599,-0.4064689191028247
-0.6250839737094462,-0.28385705509848025
0.7599332989659848,-0.7463142557664729
0.8726045127307533,-0.6792159590736175
0.7237632817895271,-0.6741617637994087
