μ,σ
0.32453992977643686,0.11254401592553621
0.7102802526148628,0.42192609973377604
0.04653875517278694,-0.12266710157864924
0.8507566662870305,0.6243812304429182
-0.9750258750997494,-0.9592262272074121
-0.9688336429883345,-0.9841902164720037
0.05200445015771393,-0.038134047800027
-0.9632441015308633,-0.9792235926177155
-0.594450974514187,-0.5959049697498623
-0.7005639433890182,-0.9672043222672084
0.9243378840009153,0.8624806624553885
0.6780005743640652,0.4799590773397974
0.33544662085577004,0.05145122176444955
0.7684040520063075,0.5846530997110164
0.38508724499479324,0.22456142498899387
0.9307261515498777,0.841366360141485
0.28793458864253174,-0.06286408915091199
0.5534600948942497,0.34958483407576985
0.6062349534171656,0.47037773533055094
0.9343471053504937,0.8626349005361729
0.8818074396835122,0.7780261515321617
-0.8394588500711068,-0.9752653019992917
-0.48912540981974956,-0.6425460720311972
-0.8715497868794277,-0.9299627494931285
0.9454995016605834,0.830470037576955
0.6429314800205834,0.40223303185267684
0.8776547342068983,0.7600414341633431
-0.8739861445988654,-0.8354492496151332
0.9211274091317354,0.4933447257142319
0.9686163873203165,0.6546655106999925
0.7771325531763008,0.743808850713785
0.9573178517724028,0.06133429505167902
0.5161975839328933,0.423502499239056
0.9357816822928775,0.8637370006396796
0.6323087950903827,0.34149241660275353
0.9055944909371412,0.5466204489583071
-0.7195806449794229,-0.7548508459781766
-0.9382876408912681,-0.9772121297425582
-0.2604180067454969,-0.6174163259073148
0.8688975877906125,0.8176337403638455
0.9546033806556067,0.9101197420412466
-0.6020418671584834,-0.245340209700703
0.9741539805772294,0.9368946834880622
0.504523462070406,0.3164959017571789
0.16970948309148223,-0.3665493552531521
0.3354542715646325,0.08689853468210355
-0.6813397577322167,-0.7346909194760518
-0.10367068099413337,-0.3739698055121725
0.20373902085920456,-0.05350028946601704
-0.7926032314243646,-0.8684744930635635
0.9557652207496788,-0.29870904387779634
-0.7508216482129492,-0.9431741370892457
0.9376017120837699,0.8352603320832475
-0.7710470344330683,-0.940787277845162
-0.97674948794754,-0.8203559156450406
-0.9272170883094616,-0.9734467495716653
-0.8698816845156018,-0.9436054253035432
0.21203290355093804,0.056477443802174496
0.512939271087689,-0.4384636154069553
0.7447357040607682,0.5538727566636579
-0.9599596560795339,-0.965653615877036
0.6037653546417062,0.015437675717876964
0.981057878038838,0.9722017956780665
-0.9146104229885639,-0.9353383711569084
0.6937456660286726,0.5618075878090973
0.06595794872604341,-0.38095876661367717
0.9525827195082117,0.8990697197531488
0.7577309782734037,0.3390161202622853
-0.8221665033617823,-0.8783660046201915
-0.34355948575869566,-0.4832752148860965
-0.3506846502301039,-0.3549145328429519
0.7760560834914879,0.46404875640616616
-0.8994775183181999,-0.8562501773284079
-0.5685538406644682,-0.813175184081177
-0.9318683554286092,-0.9544484611885613
0.9484049970007277,0.9257244290676778
0.9103714645288498,0.7877200239882073
0.6960274323994601,0.6068331205266522
0.5895174822342066,0.5462702279650477
0.9659983366993264,0.9635803771624227
0.7795357541748233,0.35925439754651467
0.6405514560206339,0.49950433661338367
0.2584751554142972,-0.11362307954791573
0.2837127653996121,-0.14620951989408987
0.053114970063448404,0.010546360170555519
-0.7735390873153948,-0.7940519995572939
0.9367562053259224,0.6119251221012736
0.70316300071655,0.2690420976996085
-0.9740675834132815,-0.9822853526945382
0.7603991174268375,0.6059992461818419
0.5931024413465055,0.4573794116975599
-0.21841012631582984,-0.769087879937875
0.6305609184378661,0.5343732567788186
-0.9656638091897964,-0.965794029121133
0.7810649542295329,0.6091527360880123
0.951048840732532,0.8460257923401955
0.8111773561210092,0.6508596376753812
-0.8933742929429158,-0.9573921141839926
0.959042749371054,0.82308047593347
0.37910365552631625,0.30741173567367236
-0.32451638383021075,-0.4631797113363439
-0.2834742850678411,-0.3532293281802351
0.8678755787614862,0.7360218854248544
0.3837228867806246,0.07538293954493604
-0.9820819996655367,-0.9681070797623114
0.8514634587645943,0.7756648273326353
0.4273535972560468,0.06181882718227764
-0.7245807150311758,-0.39936662087964014
0.7158258289954076,0.6124358920455758
0.8600143265347129,0.7006878984467487
0.580921929916386,0.46260228239303963
-0.4338562078416087,-0.6869445030985647
0.9402560672583075,0.822021451147075
0.8825956782658113,0.7614986697172956
0.940319279780001,0.8812987280047803
0.8891401876747655,-0.2829108867983631
0.9485237663357067,0.9203532822638993
0.5341129022741509,0.44085791641127814
-0.7290401489223813,-0.7732871067597002
0.7487889699604363,0.615212339870322
0.9764553521574051,0.9731383374096682
-0.12254925541715168,-0.658713145420414
0.7611493064255871,-0.8288947767520649
0.34300573247570953,-0.5014692998959108
-0.7418292267711284,-0.9385933451204557
-0.7027150255723605,-0.7927607394638128
0.8791172353366938,0.6049759490867168
0.962858100040691,0.5737988479505703
-0.35396693868694334,-0.479319051136607
0.9197854924399375,0.8493991277238105
0.6892436564168323,0.5566789449313544
0.6747764120679525,0.43049757050019277
0.9363316433822275,0.8459687359482746
0.044777226079848284,-0.5382945708590895
-0.7530500378279477,-0.7039521741261903
0.9421366223905617,-0.6418509279547787
0.7630847221498354,0.4301027470587463
