μ,σ
0.7999779471259868,0.7420749591358112
0.7552080856482407,0.7347799121426173
0.5210564830564355,0.0383253089869945
0.7883649117296704,0.7625789672415777
0.7890733212209293,0.7447543156318667
0.8398471480949293,0.7854023989493689
0.7845523568865309,0.6337444341615494
0.8448400861081126,0.7396724693628193
0.6189683037489936,0.6246849701631927
0.5682436392223507,0.5844457923157734
0.6974454958178878,0.701574729281818
0.7023050462017455,0.7440603810945284
0.8044729682397259,0.744633381501321
0.7721832889384729,0.6108198742803937
0.6229834982921377,0.6897590291183469
0.477249863947046,0.5016625122118638
0.7753776840783305,0.7220851168283442
0.8297772794689627,0.7808142396926381
-0.12928991301354467,-0.3058384862202321
0.8188614414590404,0.7861992828343802
0.6070608146348822,0.6023625715055115
0.8377411279305295,0.8090865997831972
0.8035063318459473,0.4722907024007907
0.5807018280868232,0.6301324137245289
0.8187626546593062,0.5510410743567465
0.7836272220325011,0.7459956418483207
0.5990577886862055,-0.038789419998036305
0.8387694153681039,0.7834992496104742
0.5926591744072796,0.5167398633570233
0.8457022265958452,0.8037934677284385
0.7455746381812411,0.5197144932428479
0.8554249687010548,0.8121567808763906
0.4766294181247802,0.47568426535164265
0.594912578508405,0.6808926927431366
0.7451230534129917,0.7260734929746139
0.6314771430140825,0.4494401180976382
0.8397437559640133,0.8023371172825443
0.5876393317959386,0.2745159177867145
0.7334591221027288,0.6565791286971988
0.8411919658495033,0.7012363884020663
0.8011154222335991,0.7928477875659139
0.8235789977408092,0.8235051001560364
0.6482197964302231,0.6998988946455297
0.8697617635919557,0.8138866684814491
-0.09620844771517695,-0.44162452661153145
0.7261005675389047,0.47921009450050167
0.8436051664154443,0.8232250414712038
0.8320515742411696,0.7128151609774386
0.7946583607916196,0.7568549676693053
0.8353753938442477,0.7642572871109501
0.8134956303121278,0.7514465188355947
0.7259468566110774,0.6653877808323774
0.5439453738169756,0.5642618096105435
0.8009357259722538,0.707544877357373
0.8104792277779219,0.7057275708992684
0.5784205145749284,0.7270136016561569
0.8207895104594721,0.7893131900049658
0.7086192528892586,0.7092411053751468
0.8695575538709424,0.7475113021399384
0.7629088734501848,0.7565156454341908
0.8191109364809583,0.800744813487345
0.8051570697802582,0.7455097290555622
0.7631549266649714,0.7451483221659411
0.6765039767560654,0.3021493467146442
0.8203481331286898,0.7967350624626784
0.8126730059901787,0.6873694278668165
0.7907655890684309,0.6799764853009365
0.8367163948137545,0.644151304054016
-0.03841540650507483,-0.28322294171751894
0.8152662707506113,0.7477657212628669
0.6808069374849762,0.651215966866163
0.10470278362999556,-0.022467456686605783
0.8334377816690288,0.7645174051399322
0.8000773432913993,0.7726545096897763
0.8346465844223213,0.7354546549198289
0.5807731393402893,0.6375539361487794
0.8529175682525139,0.7901624497792138
0.7795079662197617,0.6680029092920385
0.47547037802565745,0.3304295399072131
0.8634746969393734,0.8184811066002733
0.862363825888637,0.8083774533047646
0.8247849838819471,0.8247932188937535
0.7225611535745321,0.6994782502626391
0.7984330005459839,0.795055008603474
0.8270811350662887,0.8043314063643723
0.7657920861190199,0.7207197913609167
0.8075448035003067,0.7384447878262411
0.824572658621322,0.7663402564700178
0.41349000169203587,-0.09518312710290419
0.16541652698864492,-0.29672141089418314
0.7486009929560596,0.753232435841655
0.40056549795760304,0.403645311168133
0.8278230644604737,0.7604018982627618
0.8415188545516985,0.8013032675101108
0.8549798254106525,0.7978267903727657
0.025327314768404406,-0.06382415771248515
0.7983778167842223,0.6662733389288445
0.8669355028414412,0.7921357054388979
0.8646586091850119,0.8256585242996909
0.8037598474115093,0.8051510514400501
0.6112529318485909,0.6288859895870296
0.7813728599856801,0.7222023559616698
0.8044077770289377,0.781237821219953
0.8286877855282891,0.7918930735138167
0.07479063644212901,-0.20526555674565247
0.7967292547145626,0.7655224272669203
0.8366446474301202,0.7789920535023849
0.7857104211530217,0.7425845374108658
0.5950719002629,0.5563491086657008
0.8340071403003712,0.8089822787705652
0.6706607595585835,0.7196532649932004
0.8119101038042628,0.7952125975376128
0.24924510384921322,0.42107292771731925
0.7523766472495662,0.7703331739546379
0.8229379382197823,0.7576635892112107
0.7633965876168933,0.672134723530811
0.7932669650297033,0.7911610771568893
0.8210165397070168,0.7666981717931297
0.6988119046496449,0.6886113773442829
0.5698231427721041,0.578143436102777
0.8191211400926242,0.7778551996165922
0.35383832945736976,0.3744903756362288
0.7578743945732079,0.5278864699657184
0.6590448546259918,0.6669688238555264
0.5983456767695469,0.6233774488216589
0.7872154955332633,0.7176829215350956
0.43858668800446116,0.19418738138699088
-0.21800434174866254,-0.058941550104255266
0.7764050157220707,0.7264539354051051
0.8071999932706663,0.7594667529368008
0.85369617042897,0.7888184539590188
0.7690392060622085,0.7180511214229728
0.7872482389674619,0.5821063141147979
0.8137582345193834,0.7500136402929825
0.7980049101294202,0.7248669319936113
0.6532750778208127,0.7491980976397496
0.7939667400852413,0.7796565564053668
0.822458414538461,0.6953792291320099
0.8462192257192445,0.773605548747347
0.8483057986790282,0.7519991815992901
0.8160875136099831,0.7771845895569414
0.8320034008172006,0.7828355714839035
0.8246542982365264,0.8037100907508244
0.6001641753308293,0.7323271250308133
0.37088715752940155,0.3730144104135237
0.8184613529998083,0.754098141036767
